Age,Gender,Location,Parental Occupation,Study Hours,Previously Written JAMB,WAEC English Score,WAEC Maths Score,Internet Access,Understanding of Subjects,Confidence in JAMB Success,CBT Experience,Feelings about CBT,Learning Materials Availability,Educational Technology Usage,Support for Exam Preparation,Suggestions for School Improvement,Adequate JAMB Preparation,Result
20,Male,Ikorodu (Public),Business owner,3-5 hours,No,61,97,No,Excellent,Very confident,Yes,Uncomfortable,Good,Occasionally,"More past questions, Tutors, Counseling",More teachers,Yes,Pass
16,Male,Epe (Public),Trader,1-3 hours,No,77,95,Yes,Poor,Somewhat confident,No,Uncomfortable,Fair,Occasionally,"Counseling, Better textbooks, Tutors",More practical lessons,Yes,Fail
20,Female,Others,Trader,More than 5 hours,Yes,78,85,No,Average,Somewhat confident,No,Uncomfortable,Poor,Never,Counseling,Extra classes,Yes,Fail
18,Male,Ikorodu (Public),Trader,More than 5 hours,Yes,63,66,Yes,Poor,Confident,No,Neutral,Poor,Occasionally,"Tutors, Extra lessons",Extra classes,Yes,Fail
19,Male,Others,Artisan,More than 5 hours,No,91,60,No,Good,Not confident,No,Uncomfortable,Fair,Often,Better textbooks,More practical lessons,Yes,Fail
18,Female,Lekki (Private),Trader,3-5 hours,Yes,65,75,Yes,Excellent,Somewhat confident,Yes,Comfortable,Excellent,Occasionally,"Better textbooks, More past questions, Tutors",More teachers,Yes,Fail
18,Female,Lekki (Private),Civil servant,1-3 hours,Yes,86,73,Yes,Good,Not confident,No,Neutral,Good,Never,"Better textbooks, Extra lessons, Counseling",Extra classes,No,Fail
16,Male,Others,Trader,Less than 1 hour,No,85,65,No,Excellent,Very confident,No,Neutral,Poor,Never,"Extra lessons, More past questions",Improved facilities,No,Fail
18,Female,Lekki (Private),Trader,More than 5 hours,Yes,54,79,Yes,Poor,Very confident,No,Comfortable,Fair,Often,Better textbooks,More teachers,Yes,Fail
20,Female,Victoria Island (Private),Civil servant,More than 5 hours,Yes,66,63,No,Excellent,Not confident,No,Neutral,Fair,Always,"Counseling, Better textbooks",Extra classes,No,Fail
18,Male,Victoria Island (Private),Trader,Less than 1 hour,Yes,62,84,No,Average,Somewhat confident,No,Neutral,Excellent,Never,"Extra lessons, More past questions, Counseling",Improved facilities,Yes,Fail
16,Male,Epe (Public),Artisan,More than 5 hours,No,74,61,Yes,Average,Very confident,Yes,Uncomfortable,Fair,Occasionally,"More past questions, Extra lessons, Better textbooks",More teachers,Yes,Pass
20,Male,Victoria Island (Private),Teacher,3-5 hours,Yes,45,87,No,Average,Very confident,No,Comfortable,Poor,Never,"Counseling, Tutors, More past questions",More practical lessons,Yes,Fail
19,Female,Others,Artisan,1-3 hours,No,49,69,Yes,Average,Very confident,Yes,Comfortable,Good,Often,"Extra lessons, Tutors",Extra classes,No,Fail
20,Male,Lekki (Private),Civil servant,1-3 hours,No,89,93,No,Average,Not confident,Yes,Neutral,Poor,Often,"Better textbooks, Counseling, Extra lessons",More teachers,Yes,Fail
17,Female,Epe (Public),Trader,Less than 1 hour,Yes,70,98,Yes,Poor,Somewhat confident,No,Neutral,Excellent,Always,"Counseling, Better textbooks, Extra lessons",Extra classes,Yes,Fail
19,Male,Ikorodu (Public),Trader,Less than 1 hour,No,79,47,Yes,Average,Not confident,Yes,Comfortable,Good,Always,"Tutors, Better textbooks",More teachers,No,Fail
20,Female,Others,Civil servant,3-5 hours,Yes,66,42,No,Poor,Somewhat confident,No,Neutral,Excellent,Often,Better textbooks,Improved facilities,No,Fail
19,Male,Victoria Island (Private),Teacher,3-5 hours,Yes,83,51,No,Poor,Confident,Yes,Neutral,Fair,Often,"Tutors, Extra lessons",Extra classes,No,Pass
19,Male,Others,Teacher,1-3 hours,Yes,57,55,No,Average,Not confident,Yes,Neutral,Excellent,Occasionally,Counseling,Extra classes,Yes,Fail
17,Male,Victoria Island (Private),Trader,Less than 1 hour,Yes,76,61,Yes,Excellent,Somewhat confident,No,Comfortable,Good,Always,Tutors,More practical lessons,No,Fail
18,Male,Others,Trader,More than 5 hours,No,99,100,Yes,Poor,Somewhat confident,No,Comfortable,Poor,Never,Counseling,More teachers,No,Fail
20,Male,Lekki (Private),Business owner,More than 5 hours,Yes,84,66,Yes,Excellent,Confident,Yes,Neutral,Good,Occasionally,"Extra lessons, More past questions, Tutors",Extra classes,Yes,Pass
18,Male,Lekki (Private),Business owner,1-3 hours,No,60,66,Yes,Excellent,Very confident,No,Uncomfortable,Poor,Occasionally,Counseling,More teachers,No,Fail
20,Female,Victoria Island (Private),Trader,3-5 hours,No,63,88,No,Average,Somewhat confident,Yes,Uncomfortable,Excellent,Occasionally,"Better textbooks, Extra lessons, Tutors",More teachers,Yes,Fail
17,Female,Others,Trader,Less than 1 hour,No,94,70,Yes,Excellent,Not confident,No,Comfortable,Good,Often,Extra lessons,More teachers,No,Fail
18,Male,Others,Trader,Less than 1 hour,Yes,61,43,No,Poor,Confident,Yes,Neutral,Excellent,Occasionally,"Better textbooks, More past questions, Tutors",Extra classes,Yes,Fail
16,Male,Lekki (Private),Artisan,More than 5 hours,Yes,67,64,No,Good,Somewhat confident,No,Uncomfortable,Good,Often,"More past questions, Extra lessons",More practical lessons,No,Fail
17,Female,Ikorodu (Public),Business owner,Less than 1 hour,No,89,90,Yes,Average,Not confident,Yes,Uncomfortable,Fair,Always,"Better textbooks, Counseling",Extra classes,Yes,Fail
18,Female,Victoria Island (Private),Business owner,1-3 hours,No,51,100,Yes,Good,Confident,No,Neutral,Fair,Occasionally,"Counseling, Tutors",More practical lessons,Yes,Fail
17,Male,Others,Business owner,Less than 1 hour,Yes,53,49,Yes,Excellent,Somewhat confident,No,Comfortable,Excellent,Always,"Better textbooks, Tutors, Extra lessons",More teachers,No,Fail
17,Male,Epe (Public),Business owner,3-5 hours,No,54,59,No,Excellent,Somewhat confident,Yes,Uncomfortable,Fair,Never,"Better textbooks, More past questions, Tutors",Extra classes,No,Fail
18,Male,Epe (Public),Business owner,1-3 hours,Yes,73,67,No,Good,Somewhat confident,No,Uncomfortable,Excellent,Never,"Tutors, More past questions",More teachers,Yes,Fail
20,Male,Epe (Public),Civil servant,More than 5 hours,No,45,59,No,Excellent,Confident,No,Neutral,Excellent,Never,"More past questions, Counseling",More practical lessons,Yes,Fail
17,Male,Ikorodu (Public),Business owner,1-3 hours,No,91,54,Yes,Good,Confident,No,Comfortable,Fair,Often,"Better textbooks, More past questions, Counseling",Extra classes,Yes,Fail
18,Male,Ikorodu (Public),Business owner,More than 5 hours,Yes,99,43,Yes,Good,Not confident,No,Uncomfortable,Excellent,Occasionally,More past questions,Improved facilities,Yes,Fail
16,Male,Victoria Island (Private),Teacher,Less than 1 hour,Yes,100,62,No,Excellent,Confident,Yes,Comfortable,Poor,Always,More past questions,More practical lessons,Yes,Pass
16,Male,Lekki (Private),Business owner,3-5 hours,No,92,59,Yes,Poor,Somewhat confident,Yes,Uncomfortable,Excellent,Never,"Tutors, Extra lessons, Better textbooks",Extra classes,Yes,Fail
19,Female,Others,Teacher,Less than 1 hour,Yes,60,59,Yes,Poor,Very confident,No,Uncomfortable,Excellent,Never,Tutors,More practical lessons,Yes,Fail
19,Female,Lekki (Private),Artisan,Less than 1 hour,No,82,57,Yes,Excellent,Very confident,No,Neutral,Excellent,Occasionally,"More past questions, Extra lessons",Improved facilities,Yes,Fail
18,Female,Epe (Public),Business owner,1-3 hours,No,42,93,Yes,Average,Somewhat confident,Yes,Neutral,Good,Often,"Extra lessons, Better textbooks, More past questions",More teachers,Yes,Fail
19,Female,Ikorodu (Public),Trader,Less than 1 hour,Yes,70,43,Yes,Excellent,Very confident,Yes,Uncomfortable,Excellent,Always,"Tutors, Better textbooks, Extra lessons",More practical lessons,No,Fail
16,Male,Epe (Public),Teacher,1-3 hours,Yes,68,87,Yes,Poor,Very confident,Yes,Neutral,Good,Often,Tutors,Extra classes,Yes,Pass
17,Female,Ikorodu (Public),Trader,More than 5 hours,No,64,70,Yes,Excellent,Not confident,Yes,Comfortable,Fair,Always,Tutors,More practical lessons,Yes,Fail
18,Female,Ikorodu (Public),Trader,3-5 hours,Yes,40,69,Yes,Excellent,Somewhat confident,No,Neutral,Fair,Often,"Better textbooks, Counseling, Tutors",Improved facilities,Yes,Fail
18,Male,Epe (Public),Trader,3-5 hours,No,74,42,Yes,Good,Very confident,No,Neutral,Excellent,Often,"Tutors, More past questions, Extra lessons",More teachers,Yes,Fail
18,Female,Ikorodu (Public),Teacher,More than 5 hours,Yes,52,77,No,Poor,Not confident,No,Uncomfortable,Excellent,Often,"Tutors, Extra lessons, More past questions",More practical lessons,No,Fail
17,Male,Victoria Island (Private),Business owner,More than 5 hours,Yes,71,69,No,Poor,Very confident,Yes,Comfortable,Fair,Always,"Counseling, Extra lessons, More past questions",More teachers,Yes,Pass
16,Female,Lekki (Private),Business owner,1-3 hours,No,50,82,Yes,Good,Very confident,Yes,Comfortable,Fair,Always,"Extra lessons, Counseling",More teachers,Yes,Pass
16,Female,Victoria Island (Private),Artisan,3-5 hours,No,52,40,Yes,Average,Not confident,Yes,Neutral,Good,Never,"Extra lessons, Counseling",Extra classes,Yes,Fail
19,Female,Epe (Public),Trader,1-3 hours,Yes,84,85,No,Poor,Somewhat confident,No,Comfortable,Fair,Occasionally,Counseling,More practical lessons,Yes,Fail
17,Female,Ikorodu (Public),Teacher,1-3 hours,Yes,67,84,Yes,Poor,Very confident,Yes,Neutral,Poor,Occasionally,"Better textbooks, More past questions, Tutors",More teachers,Yes,Pass
16,Male,Lekki (Private),Artisan,More than 5 hours,No,87,48,Yes,Average,Not confident,Yes,Comfortable,Good,Never,Extra lessons,More practical lessons,No,Fail
18,Male,Lekki (Private),Artisan,3-5 hours,No,69,98,Yes,Average,Very confident,No,Uncomfortable,Excellent,Occasionally,"More past questions, Extra lessons, Better textbooks",More practical lessons,Yes,Fail
20,Female,Victoria Island (Private),Business owner,3-5 hours,No,65,45,No,Good,Confident,No,Uncomfortable,Good,Always,"Better textbooks, Counseling",Extra classes,Yes,Fail
20,Female,Ikorodu (Public),Artisan,More than 5 hours,Yes,62,45,No,Good,Not confident,Yes,Uncomfortable,Poor,Always,Better textbooks,Extra classes,Yes,Fail
19,Male,Others,Teacher,Less than 1 hour,Yes,44,52,No,Poor,Very confident,Yes,Comfortable,Poor,Never,"Better textbooks, Counseling, More past questions",Improved facilities,No,Fail
17,Male,Victoria Island (Private),Civil servant,3-5 hours,No,90,73,No,Excellent,Somewhat confident,No,Neutral,Poor,Never,"More past questions, Extra lessons, Counseling",More teachers,No,Fail
17,Female,Ikorodu (Public),Trader,1-3 hours,Yes,79,98,No,Average,Not confident,No,Comfortable,Fair,Always,"Extra lessons, Tutors",More teachers,Yes,Fail
19,Male,Others,Civil servant,1-3 hours,Yes,41,43,No,Average,Not confident,No,Uncomfortable,Poor,Often,Counseling,Extra classes,Yes,Fail
17,Female,Others,Teacher,More than 5 hours,No,75,97,No,Average,Not confident,Yes,Uncomfortable,Fair,Occasionally,"More past questions, Better textbooks",More practical lessons,Yes,Fail
17,Female,Victoria Island (Private),Civil servant,3-5 hours,Yes,99,70,Yes,Excellent,Not confident,No,Neutral,Good,Always,"Better textbooks, More past questions",Extra classes,Yes,Fail
19,Male,Others,Teacher,More than 5 hours,Yes,51,46,No,Average,Very confident,No,Uncomfortable,Excellent,Never,"More past questions, Tutors",Improved facilities,No,Fail
17,Male,Others,Civil servant,More than 5 hours,No,57,80,No,Poor,Somewhat confident,Yes,Neutral,Fair,Occasionally,"Counseling, Better textbooks, Tutors",Extra classes,No,Fail
18,Female,Epe (Public),Business owner,3-5 hours,No,85,83,Yes,Poor,Not confident,Yes,Comfortable,Good,Always,Extra lessons,Extra classes,No,Fail
20,Female,Lekki (Private),Artisan,1-3 hours,Yes,65,74,Yes,Good,Somewhat confident,No,Comfortable,Poor,Never,"Extra lessons, More past questions, Better textbooks",Improved facilities,No,Fail
18,Male,Ikorodu (Public),Civil servant,More than 5 hours,Yes,60,80,No,Poor,Somewhat confident,Yes,Uncomfortable,Excellent,Occasionally,Better textbooks,Improved facilities,Yes,Fail
18,Female,Others,Artisan,3-5 hours,No,55,81,No,Poor,Very confident,No,Neutral,Excellent,Always,"Extra lessons, Better textbooks",Extra classes,Yes,Fail
20,Male,Epe (Public),Trader,1-3 hours,Yes,61,54,No,Poor,Very confident,No,Comfortable,Excellent,Never,"Counseling, More past questions, Tutors",Improved facilities,No,Fail
17,Female,Epe (Public),Business owner,3-5 hours,No,70,63,No,Good,Very confident,No,Uncomfortable,Good,Occasionally,Tutors,More practical lessons,Yes,Fail
19,Female,Ikorodu (Public),Teacher,More than 5 hours,No,90,98,Yes,Average,Not confident,Yes,Uncomfortable,Fair,Occasionally,Counseling,Extra classes,No,Fail
17,Female,Victoria Island (Private),Trader,Less than 1 hour,No,90,68,No,Average,Very confident,No,Uncomfortable,Fair,Often,More past questions,More practical lessons,Yes,Fail
20,Female,Ikorodu (Public),Artisan,More than 5 hours,Yes,85,85,Yes,Poor,Confident,Yes,Comfortable,Poor,Occasionally,"More past questions, Counseling, Tutors",More teachers,No,Pass
16,Female,Others,Artisan,More than 5 hours,No,81,84,No,Excellent,Not confident,No,Neutral,Excellent,Always,"Extra lessons, More past questions",More teachers,Yes,Fail
16,Male,Ikorodu (Public),Civil servant,Less than 1 hour,No,99,86,Yes,Good,Not confident,Yes,Comfortable,Poor,Never,Tutors,Extra classes,No,Fail
17,Female,Epe (Public),Artisan,3-5 hours,No,43,67,No,Excellent,Somewhat confident,No,Neutral,Excellent,Occasionally,Extra lessons,Extra classes,Yes,Fail
19,Female,Ikorodu (Public),Business owner,Less than 1 hour,No,42,41,Yes,Average,Not confident,No,Uncomfortable,Poor,Often,"Counseling, Tutors, Extra lessons",More practical lessons,Yes,Fail
20,Female,Epe (Public),Teacher,3-5 hours,Yes,82,74,No,Poor,Very confident,No,Neutral,Excellent,Never,"Better textbooks, Counseling",Improved facilities,Yes,Fail
17,Female,Victoria Island (Private),Artisan,More than 5 hours,Yes,42,46,Yes,Excellent,Confident,No,Neutral,Fair,Occasionally,Extra lessons,Extra classes,Yes,Fail
18,Male,Ikorodu (Public),Teacher,3-5 hours,No,43,76,No,Average,Very confident,Yes,Comfortable,Poor,Often,"More past questions, Tutors, Extra lessons",More teachers,Yes,Fail
19,Male,Victoria Island (Private),Civil servant,More than 5 hours,Yes,52,41,Yes,Good,Not confident,Yes,Neutral,Fair,Occasionally,Better textbooks,Extra classes,Yes,Fail
19,Male,Epe (Public),Teacher,More than 5 hours,No,82,70,No,Poor,Very confident,Yes,Uncomfortable,Excellent,Never,"Better textbooks, Extra lessons",More practical lessons,No,Pass
17,Female,Lekki (Private),Artisan,Less than 1 hour,No,65,60,No,Excellent,Very confident,Yes,Neutral,Good,Often,Tutors,More teachers,Yes,Pass
20,Male,Ikorodu (Public),Business owner,More than 5 hours,No,44,74,No,Average,Confident,Yes,Uncomfortable,Fair,Occasionally,"Extra lessons, Better textbooks, Counseling",More practical lessons,Yes,Fail
20,Male,Ikorodu (Public),Civil servant,1-3 hours,Yes,53,59,Yes,Poor,Somewhat confident,Yes,Comfortable,Excellent,Occasionally,"Better textbooks, Counseling",Extra classes,No,Fail
16,Female,Ikorodu (Public),Trader,1-3 hours,Yes,49,51,No,Poor,Not confident,No,Comfortable,Poor,Always,Extra lessons,Improved facilities,Yes,Fail
19,Female,Victoria Island (Private),Civil servant,More than 5 hours,Yes,91,61,No,Excellent,Very confident,No,Comfortable,Fair,Often,Extra lessons,More practical lessons,Yes,Fail
18,Female,Lekki (Private),Business owner,1-3 hours,Yes,99,97,No,Excellent,Not confident,Yes,Comfortable,Excellent,Never,"Extra lessons, Counseling, Better textbooks",Extra classes,No,Fail
17,Male,Ikorodu (Public),Teacher,Less than 1 hour,Yes,51,79,Yes,Good,Very confident,Yes,Neutral,Excellent,Always,Better textbooks,More teachers,Yes,Pass
17,Female,Victoria Island (Private),Civil servant,3-5 hours,Yes,83,99,Yes,Poor,Not confident,Yes,Comfortable,Fair,Often,"Extra lessons, Counseling, Tutors",More teachers,Yes,Fail
16,Male,Epe (Public),Trader,1-3 hours,No,53,48,No,Good,Somewhat confident,Yes,Comfortable,Fair,Occasionally,Counseling,Extra classes,No,Fail
17,Female,Lekki (Private),Business owner,3-5 hours,Yes,67,94,Yes,Excellent,Very confident,No,Uncomfortable,Poor,Often,"Extra lessons, More past questions, Counseling",Extra classes,No,Fail
16,Female,Epe (Public),Teacher,1-3 hours,No,41,67,Yes,Average,Very confident,Yes,Uncomfortable,Fair,Always,Tutors,More teachers,No,Fail
19,Male,Ikorodu (Public),Artisan,1-3 hours,No,98,92,Yes,Good,Very confident,Yes,Uncomfortable,Excellent,Often,"Better textbooks, More past questions, Extra lessons",More practical lessons,No,Pass
17,Female,Lekki (Private),Teacher,Less than 1 hour,No,95,52,Yes,Poor,Confident,No,Neutral,Excellent,Occasionally,"Counseling, Better textbooks, Extra lessons",Extra classes,Yes,Fail
18,Male,Victoria Island (Private),Artisan,3-5 hours,Yes,65,65,Yes,Excellent,Very confident,Yes,Comfortable,Excellent,Always,"Tutors, Better textbooks, More past questions",More practical lessons,No,Pass
20,Female,Lekki (Private),Business owner,Less than 1 hour,Yes,73,94,Yes,Excellent,Confident,No,Uncomfortable,Fair,Never,"Extra lessons, Tutors",More practical lessons,Yes,Fail
19,Female,Others,Trader,More than 5 hours,Yes,74,62,Yes,Excellent,Very confident,Yes,Neutral,Good,Occasionally,"Better textbooks, Extra lessons",Improved facilities,Yes,Pass
18,Female,Lekki (Private),Trader,1-3 hours,No,45,100,Yes,Good,Somewhat confident,Yes,Comfortable,Excellent,Often,"Better textbooks, Counseling",Extra classes,No,Fail
20,Male,Ikorodu (Public),Business owner,More than 5 hours,Yes,44,73,No,Excellent,Confident,Yes,Uncomfortable,Good,Occasionally,Tutors,More teachers,No,Fail
16,Male,Ikorodu (Public),Civil servant,1-3 hours,Yes,100,77,Yes,Poor,Very confident,Yes,Uncomfortable,Poor,Often,Counseling,Extra classes,No,Pass
19,Male,Epe (Public),Civil servant,More than 5 hours,No,81,70,Yes,Average,Confident,Yes,Neutral,Poor,Always,"Extra lessons, Tutors, More past questions",Improved facilities,Yes,Pass
20,Female,Lekki (Private),Civil servant,Less than 1 hour,Yes,79,41,No,Average,Not confident,No,Uncomfortable,Good,Never,"Tutors, Better textbooks, Counseling",More teachers,Yes,Fail
20,Female,Victoria Island (Private),Artisan,3-5 hours,No,78,88,Yes,Excellent,Not confident,Yes,Uncomfortable,Good,Often,Tutors,More teachers,No,Fail
20,Female,Lekki (Private),Trader,More than 5 hours,No,90,74,No,Poor,Very confident,Yes,Neutral,Poor,Occasionally,"Tutors, Extra lessons, More past questions",More practical lessons,Yes,Pass
18,Female,Others,Trader,3-5 hours,Yes,86,80,No,Poor,Not confident,No,Neutral,Poor,Never,"Tutors, Better textbooks",More practical lessons,Yes,Fail
19,Male,Victoria Island (Private),Civil servant,3-5 hours,No,95,70,No,Excellent,Somewhat confident,No,Uncomfortable,Good,Never,"Tutors, Extra lessons, Counseling",Extra classes,No,Fail
20,Male,Lekki (Private),Teacher,3-5 hours,No,62,41,No,Excellent,Somewhat confident,No,Comfortable,Poor,Never,"Counseling, Extra lessons, Better textbooks",More teachers,Yes,Fail
17,Male,Lekki (Private),Business owner,3-5 hours,No,63,67,Yes,Good,Somewhat confident,No,Comfortable,Good,Always,"More past questions, Tutors, Counseling",More teachers,No,Fail
17,Male,Others,Artisan,3-5 hours,No,52,58,No,Average,Very confident,No,Comfortable,Good,Often,"Extra lessons, Tutors",More practical lessons,No,Fail
17,Female,Ikorodu (Public),Business owner,1-3 hours,Yes,84,57,Yes,Poor,Confident,No,Uncomfortable,Good,Occasionally,Extra lessons,More teachers,No,Fail
20,Female,Victoria Island (Private),Business owner,Less than 1 hour,No,66,64,Yes,Excellent,Very confident,No,Neutral,Good,Always,"Better textbooks, Tutors",More teachers,No,Fail
20,Male,Victoria Island (Private),Teacher,More than 5 hours,Yes,78,94,No,Excellent,Very confident,Yes,Uncomfortable,Poor,Never,"Counseling, Better textbooks, Extra lessons",More teachers,Yes,Pass
19,Male,Victoria Island (Private),Business owner,3-5 hours,Yes,87,68,Yes,Good,Confident,No,Neutral,Fair,Always,"Better textbooks, More past questions, Tutors",More teachers,No,Fail
17,Male,Victoria Island (Private),Teacher,More than 5 hours,No,97,41,No,Poor,Not confident,No,Comfortable,Excellent,Often,"Counseling, Extra lessons, More past questions",More practical lessons,Yes,Fail
19,Male,Ikorodu (Public),Trader,Less than 1 hour,No,80,41,Yes,Excellent,Confident,Yes,Neutral,Fair,Often,"More past questions, Better textbooks, Tutors",More teachers,Yes,Fail
20,Female,Others,Artisan,More than 5 hours,No,46,55,Yes,Average,Not confident,No,Uncomfortable,Excellent,Often,"More past questions, Tutors",More teachers,Yes,Fail
20,Female,Ikorodu (Public),Teacher,Less than 1 hour,No,58,100,Yes,Poor,Very confident,No,Neutral,Excellent,Often,"Extra lessons, Tutors, Counseling",Extra classes,Yes,Fail
20,Male,Others,Artisan,3-5 hours,No,41,88,Yes,Good,Somewhat confident,No,Neutral,Good,Often,"Tutors, Counseling",Extra classes,No,Fail
20,Male,Epe (Public),Civil servant,3-5 hours,No,49,40,Yes,Poor,Somewhat confident,Yes,Comfortable,Good,Never,"Counseling, More past questions",More practical lessons,No,Fail
20,Female,Lekki (Private),Teacher,1-3 hours,No,84,51,No,Average,Very confident,Yes,Neutral,Fair,Often,"Counseling, Extra lessons",More practical lessons,No,Pass
16,Female,Epe (Public),Civil servant,3-5 hours,No,43,85,No,Average,Not confident,Yes,Uncomfortable,Fair,Always,"Better textbooks, Counseling, Tutors",More teachers,Yes,Fail
19,Female,Ikorodu (Public),Civil servant,1-3 hours,Yes,91,56,Yes,Poor,Confident,No,Comfortable,Fair,Occasionally,More past questions,Extra classes,No,Fail
19,Female,Victoria Island (Private),Teacher,Less than 1 hour,Yes,100,94,Yes,Excellent,Somewhat confident,Yes,Comfortable,Fair,Often,Better textbooks,More teachers,Yes,Fail
16,Male,Victoria Island (Private),Artisan,1-3 hours,No,54,43,No,Average,Somewhat confident,No,Neutral,Fair,Often,"More past questions, Better textbooks",More practical lessons,Yes,Fail
20,Female,Lekki (Private),Teacher,Less than 1 hour,Yes,42,43,No,Excellent,Very confident,No,Uncomfortable,Fair,Never,"More past questions, Counseling",More practical lessons,Yes,Fail
17,Female,Ikorodu (Public),Trader,Less than 1 hour,Yes,51,83,Yes,Good,Confident,No,Uncomfortable,Good,Often,"More past questions, Tutors",More practical lessons,Yes,Fail
18,Female,Ikorodu (Public),Trader,Less than 1 hour,Yes,69,88,No,Poor,Somewhat confident,Yes,Comfortable,Good,Never,"More past questions, Counseling",Improved facilities,Yes,Fail
16,Male,Epe (Public),Artisan,3-5 hours,No,83,74,Yes,Average,Not confident,Yes,Comfortable,Good,Always,"More past questions, Counseling, Tutors",Extra classes,No,Fail
16,Male,Epe (Public),Civil servant,Less than 1 hour,No,49,73,Yes,Excellent,Not confident,No,Neutral,Good,Always,Better textbooks,Extra classes,No,Fail
20,Female,Epe (Public),Teacher,3-5 hours,Yes,98,46,Yes,Excellent,Not confident,Yes,Uncomfortable,Poor,Always,"Tutors, Extra lessons",Extra classes,Yes,Fail
16,Female,Others,Business owner,More than 5 hours,Yes,67,81,No,Good,Not confident,Yes,Comfortable,Poor,Always,Counseling,More teachers,No,Fail
